寫,kSimplifiedVariant,写
寬,kSimplifiedVariant,宽
寵,kSimplifiedVariant,宠
寶,kSimplifiedVariant,宝
將,kSimplifiedVariant,将
專,kSimplifiedVariant,专
尋,kSimplifiedVariant,寻
對,kSimplifiedVariant,对
導,kSimplifiedVariant,导
尷,kSimplifiedVariant,尴
屆,kSimplifiedVariant,届
屍,kSimplifiedVariant,尸
屓,kSimplifiedVariant,屃
屜,kSimplifiedVariant,屉
屢,kSimplifiedVariant,屡
層,kSimplifiedVariant,层
屨,kSimplifiedVariant,屦
屩,kSimplifiedVariant,𪨗
屬,kSimplifiedVariant,属
岡,kSimplifiedVariant,冈
峴,kSimplifiedVariant,岘
島,kSimplifiedVariant,岛
峽,kSimplifiedVariant,峡
崍,kSimplifiedVariant,崃
崗,kSimplifiedVariant,岗
崢,kSimplifiedVariant,峥
崬,kSimplifiedVariant,岽
嵐,kSimplifiedVariant,岚
嵼,kSimplifiedVariant,𡶴
嶁,kSimplifiedVariant,嵝
嶄,kSimplifiedVariant,崭
嶇,kSimplifiedVariant,岖
嶔,kSimplifiedVariant,嵚
嶗,kSimplifiedVariant,崂
嶠,kSimplifiedVariant,峤
嶢,kSimplifiedVariant,峣
嶧,kSimplifiedVariant,峄
嶮,kSimplifiedVariant,崄
嶴,kSimplifiedVariant,岙
嶸,kSimplifiedVariant,嵘
嶺,kSimplifiedVariant,岭
嶼,kSimplifiedVariant,屿
巋,kSimplifiedVariant,岿
巒,kSimplifiedVariant,峦
巔,kSimplifiedVariant,巅
巰,kSimplifiedVariant,巯
帥,kSimplifiedVariant,帅
師,kSimplifiedVariant,师
帳,kSimplifiedVariant,帐
帶,kSimplifiedVariant,带
幀,kSimplifiedVariant,帧
幃,kSimplifiedVariant,帏
幗,kSimplifiedVariant,帼
幘,kSimplifiedVariant,帻
幟,kSimplifiedVariant,帜
幣,kSimplifiedVariant,币
幫,kSimplifiedVariant,帮
幬,kSimplifiedVariant,帱
幹,kSimplifiedVariant,干
幺,kSimplifiedVariant,么
幾,kSimplifiedVariant,几
庫,kSimplifiedVariant,库
廁,kSimplifiedVariant,厕
廂,kSimplifiedVariant,厢
廄,kSimplifiedVariant,厩
廈,kSimplifiedVariant,厦
廚,kSimplifiedVariant,厨
廝,kSimplifiedVariant,厮
廟,kSimplifiedVariant,庙
廠,kSimplifiedVariant,厂
廡,kSimplifiedVariant,庑
廢,kSimplifiedVariant,废
廣,kSimplifiedVariant,广
廩,kSimplifiedVariant,廪
廬,kSimplifiedVariant,庐
廳,kSimplifiedVariant,厅
弒,kSimplifiedVariant,弑
弳,kSimplifiedVariant,弪
張,kSimplifiedVariant,张
強,kSimplifiedVariant,强
彈,kSimplifiedVariant,弹
彌,kSimplifiedVariant,弥
彎,kSimplifiedVariant,弯
彙,kSimplifiedVariant,汇
彞,kSimplifiedVariant,彝
彠,kSimplifiedVariant,彟
彥,kSimplifiedVariant,彦
彲,kSimplifiedVariant,彨
征,kSimplifiedVariant,征
後,kSimplifiedVariant,后
徑,kSimplifiedVariant,径
從,kSimplifiedVariant,从
徠,kSimplifiedVariant,徕
復,kSimplifiedVariant,复
徵,kSimplifiedVariant,征;徵
徹,kSimplifiedVariant,彻
志,kSimplifiedVariant,志
恆,kSimplifiedVariant,恒
恥,kSimplifiedVariant,耻
悅,kSimplifiedVariant,悦
悞,kSimplifiedVariant,悮
悵,kSimplifiedVariant,怅
悶,kSimplifiedVariant,闷
惡,kSimplifiedVariant,恶
惱,kSimplifiedVariant,恼
惲,kSimplifiedVariant,恽
惻,kSimplifiedVariant,恻
愛,kSimplifiedVariant,爱
愜,kSimplifiedVariant,惬
愨,kSimplifiedVariant,悫
愴,kSimplifiedVariant,怆
愷,kSimplifiedVariant,恺
愾,kSimplifiedVariant,忾
愿,kSimplifiedVariant,愿
慄,kSimplifiedVariant,栗
態,kSimplifiedVariant,态
慍,kSimplifiedVariant,愠
慘,kSimplifiedVariant,惨
慚,kSimplifiedVariant,惭
慟,kSimplifiedVariant,恸
慣,kSimplifiedVariant,惯
慪,kSimplifiedVariant,怄
慫,kSimplifiedVariant,怂
慮,kSimplifiedVariant,虑
慳,kSimplifiedVariant,悭
慶,kSimplifiedVariant,庆
憂,kSimplifiedVariant,忧
憊,kSimplifiedVariant,惫
憐,kSimplifiedVariant,怜
憑,kSimplifiedVariant,凭
憒,kSimplifiedVariant,愦
憚,kSimplifiedVariant,惮
憤,kSimplifiedVariant,愤
憫,kSimplifiedVariant,悯
憮,kSimplifiedVariant,怃
憲,kSimplifiedVariant,宪
憶,kSimplifiedVariant,忆
懀,kSimplifiedVariant,𢙓
懇,kSimplifiedVariant,恳
應,kSimplifiedVariant,应
懌,kSimplifiedVariant,怿
懍,kSimplifiedVariant,懔
懟,kSimplifiedVariant,怼
懣,kSimplifiedVariant,懑
懨,kSimplifiedVariant,恹
懲,kSimplifiedVariant,惩
懶,kSimplifiedVariant,懒
懷,kSimplifiedVariant,怀
懸,kSimplifiedVariant,悬
懺,kSimplifiedVariant,忏
懼,kSimplifiedVariant,惧
懾,kSimplifiedVariant,慑
戀,kSimplifiedVariant,恋
戇,kSimplifiedVariant,戆
戔,kSimplifiedVariant,戋
戧,kSimplifiedVariant,戗
戩,kSimplifiedVariant,戬
戰,kSimplifiedVariant,战
戱,kSimplifiedVariant,戯
戲,kSimplifiedVariant,戏
戶,kSimplifiedVariant,户
拋,kSimplifiedVariant,抛
挩,kSimplifiedVariant,捝
挾,kSimplifiedVariant,挟
捨,kSimplifiedVariant,舍
捫,kSimplifiedVariant,扪
掃,kSimplifiedVariant,扫
掄,kSimplifiedVariant,抡
掆,kSimplifiedVariant,㧏
掗,kSimplifiedVariant,挜
掙,kSimplifiedVariant,挣
掛,kSimplifiedVariant,挂
採,kSimplifiedVariant,采
揀,kSimplifiedVariant,拣
揚,kSimplifiedVariant,扬
換,kSimplifiedVariant,换
揮,kSimplifiedVariant,挥
損,kSimplifiedVariant,损
搖,kSimplifiedVariant,摇
搗,kSimplifiedVariant,捣
搵,kSimplifiedVariant,揾
搶,kSimplifiedVariant,抢
摋,kSimplifiedVariant,𢫬
摑,kSimplifiedVariant,掴
摜,kSimplifiedVariant,掼
摟,kSimplifiedVariant,搂
摯,kSimplifiedVariant,挚
摳,kSimplifiedVariant,抠
摶,kSimplifiedVariant,抟
摻,kSimplifiedVariant,掺
撈,kSimplifiedVariant,捞
撏,kSimplifiedVariant,挦
撐,kSimplifiedVariant,撑
撓,kSimplifiedVariant,挠
撝,kSimplifiedVariant,㧑
撟,kSimplifiedVariant,挢
撣,kSimplifiedVariant,掸
撥,kSimplifiedVariant,拨
撫,kSimplifiedVariant,抚
撲,kSimplifiedVariant,扑
撳,kSimplifiedVariant,揿
撻,kSimplifiedVariant,挞
撾,kSimplifiedVariant,挝
撿,kSimplifiedVariant,捡
擁,kSimplifiedVariant,拥
